! .
& CC-TL
philosopher NN
philosophical JJ
philosophy NN
phone NN
phoned VBN
photograph NN
photographed VBN
photographs VBZ
photorealism NN
phrase NN
physical JJ
physician NN
piano NN
piazza NN
pick VB
picked VBD
picked VBN
picking VBG
picks VBZ
picture NN
pictures NNS
pie NN
piece NN
pieces NNS
pig NN
pigeonhole NN
pigs NNS
pike NN
pilgrim NN
piling VBG
pill NN
pills NNS
pin NN
pinch-hit VB
pine NN
pineapple NN
pinging VBG
pink JJ
pink NN
pinkish-white JJ
pinto NN
pioneer NN
piously RB
pipe NN
pipes NNS
piping VBG
pirouette NN
pistol NN
pit NN
pitch NN
pitched VBD
pitched VBN
pitcher NN
pitching VBG
pitiable JJ
pitied VBD
pitiful JJ
pits NNS
pity NN
pivoting VBG
place NN
place VB
placed VBD
placed VBN
places NNS
placid JJ
placing VBG
plaid NN
plain JJ
plain-out RB
plainly RB
plains NNS
plan NN
plan VB
plane NN
planes NNS
planets NNS
planned VBD
planned VBN
plans NNS
plant NN
plants NNS
plastered VBN
plastic JJ
plate NN
platinum NN
play VB
play-off NN
played VBD
played VBN
player NN
players NNS
playing VBG
playroom NN
plays NNS
plays VBZ
plea NN
pleading VBG
pleasant JJ
pleasantly RB
please UH
please VB
pleased VBD
pleased VBN
pleasure NN
plenty NN
plenty RB
plodding VBG
plopped VBD
plot NN
plot VB
plow NN
plowed VBN
plowing VBG
plowshares NNS
plucked VBD
plume NN
plumped VBD
plunged VBD
plunging VBG
pneumonia NN
pocket NN
pocketful NN
pockets NNS
poetic JJ
point NN
pointed VBD
pointed VBN
pointer NN
pointless JJ
points NNS
poise NN
poised VBD
poisonous JJ
poker NN
polar JJ
pole NN
policeman NN
poling VBG
polio NN
polished VBN
politely RB
political JJ
politicking NN
politics NN
polka-dotted JJ
pollen NN
pondering VBG
poodle NN
pool NN
poor JJ
poorly RB
popular JJ
popularly RB
populated VBN
populations NNS
porch NN
porches NNS
pored VBD
porridge NN
port NN
portentous JJ
porter NN
portfolio NN
portion NN
portly JJ
portrait NN
portraits NNS
portraying VBG
position NN
positive JJ
possessed VBD
possession NN
possessions NNS
possessive JJ
possibility NN
possible JJ
possibly RB
post NN
post-operative JJ
postpone VB
postponed VBN
postponement NN
posts NNS
postscript NN
posture NN
pot NN
potatoes NNS
potential JJ
potential NN
potted VBN
pound VB
pounded VBD
pounding VBG
poured VBD
poverty NN
powdery JJ
power NN
powerful JJ
powerfully RB
powers NNS
practical JJ
practically RB
practice NN
practice VB
practicing VBG
praise VB
praised VBN
prayed VBD
prayed VBN
prayer NN
prayerbooks NNS
prayerful JJ
praying VBG
pre-packed JJ
preach VB
preacher NN
preceded VBD
preceded VBN
precious JJ
precise JJ
precisely RB
predicting VBG
predictions NNS
prefectures NNS
prefer VB
preferably RB
preferred VBN
pregnant JJ
prejudice NN
prematurely RB
premium NN
preparations NNS
prepare VB
prepared VBN
preponderance NN
prescribed VBN
prescription NN
presence NN
presences NNS
present JJ
present NN
present RB
present VB
presenting VBG
presently RB
preserve VB
preserved VBN
president NN
presiding VBG
press VB
pressed VBD
pressed VBN
presses NNS
pressing VBG
pressure NN
pressures NNS
pretence NN
pretended VBD
pretense NN
pretentious JJ
prettiest JJT
pretty JJ
pretty QL
prevailed VBD
prevent VB
prevented VBN
previously RB
price NN
prickly RB
pride NN
priest NN
primitive JJ
primping VBG
princess-in-a-carriage NN
principal JJS
principle NN
print NN
prior RB
prison NN
prisoner NN
prisoners NNS
privacy NN
private JJ
private NN
prize NN
pro-ball NN
probably RB
problem NN
problems NNS
probly RB
procedure NN
proceeded VBD
process NN
procession NN
procurement NN
prodded VBN
produce NN
product NN
production NN
profession NN
professional JJ
profound JJ
profoundly RB
project NN
proliferation NN
prominent JJ
promise NN
promised VBD
promised VBN
promises NNS
promising JJ
promotion NN
pronounced VBN
proof NN
propagandist NN
proper JJ
properly RB
properties NNS
property NN
prophesied VBD
prophesied VBN
prophets NNS
proportions NNS
proposal NN
proposition NN
propositioned VBN
propped VBN
propriety NN
prospect NN
prospering VBG
prosperous JJ
protected VBD
protected VBN
protection NN
protective JJ
protests NNS
proud JJ
prove VB
proved VBD
proved VBN
proverb NN
proverbial JJ
proves VBZ
provide VB
provided VBD
provided VBN
providing VBG
prudent JJ
pruta FW-NNS
psychiatry NN
psychopathic JJ
public NN
publicity NN
publicly RB
publishing VBG
puckered VBN
puddles NNS
puffy JJ
pugh UH
pull VB
pulled VBD
pulled VBN
pulling VBG
pulse NN
pulse VB
pumpkin NN
pumps NNS
punch VB
punches NNS
punctuated VBN
punctured VBN
punished VBN
punks NNS
puny JJ
pupils NNS
pups NNS
pure JJ
purify VB
purity NN
purple JJ
purple-black JJ
purpose NN
purposeless JJ
purse NN
pursed VBD
pursued VBN
purtiest JJT
push VB
pushed VBD
pushed VBN
pushing VBG
put VB
put VBD
put VBN
put-upon JJ
putains FW-NNS
puts VBZ
putting VBG
puzzled VBN
pyramid VB
pyre NN
quaint JJ
qualifications NNS
qualities NNS
quality NN
quantities NNS
quarreling VBG
quarrels NNS
quarry NN
quarter NN
quarters NNS
quarts NNS
quavering VBG
queer JJ
quench VB
question NN
questioned VBD
questioned VBN
questioning VBG
questioningly RB
quick JJ
quick RB
quickly RB
quiet JJ
quiet VB
quietly RB
quite ABL
quite QL
quite RB
quitting VBG
quivering VBG
quok FW-WDT
rabbits NNS
rabble NN
race NN
raced VBD
races NNS
racing NN
racing VBG
rack VB
racket NN
rackety JJ
radar NN
radiant JJ
radio NN
raffish JJ
rage NN
raged VBD
rages NNS
ragged JJ
rail NN
railing NN
railway NN
rain NN
rain VB
rain's NN+HVZ
raindrops NNS
rained VBD
raining VBG
raise VB
raised VBD
raised VBN
raisin NN
raising NN
raked VBD
ram VB
rammed VBD
ramming VBG
ran VBD
ranch NN
random JJ
rang VBD
range NN
range VB
ranged VBD
rankles VBZ
ranted VBD
rap NN
rape VB
raped VBN
rapidly RB
rapped VBN
rapping NN
rapping VBG
rarely RB
rat's NN$
rates NNS
rather ABL
rather IN
rather QL
rather RB
rattlesnakes NNS
rattling VBG
raucous JJ
ravenous JJ
raving VBG
raw JJ
reach NN
reach VB
reached VBD
reached VBN
reaction NN
read VB
read VBD
read VBN
readers NNS
readily RB
reading NN
reading VBG
ready JJ
ready-made JJ
real JJ
realism NN
realistic JJ
reality NN
realize VB
realized VBD
realized VBN
realizing VBG
really QL
really RB
rear JJ
reason NN
reason VB
reasonable JJ
reasoned VBD
reasoning VBG
reasons NNS
reassurance NN
reassured VBD
rebellious JJ
rebelliously RB
rebound NN
rebuffed VBN
recall VB
recalled VBD
recalling VBG
receive VB
received VBD
receiver NN
recent JJ
recently RB
recognized VBD
recommend VB
reconciled VBN
record NN
recovering VBG
recovery NN
recriminations NNS
red JJ
red-faced JJ
red-haired JJ
redhead NN
redheaded JJ
redheads NNS
reduced VBN
reedy JJ
reeked VBD
refer VB
references NNS
referred VBN
reflect VB
reflecting VBG
reflection NN
reflections NNS
reflective JJ
refolded VBD
refracted VBN
refrigerator NN
refrigerators NNS
refugee NN
refusal NN
refuse VB
refused VBN
refusing VBG
regalia NNS
regard VB
regarded VBD
regarded VBN
regime NN
region NN
regions NNS
registered VBD
registration NN
regretted VBD
regular JJ
rehearsal NN
rehearsed VBN
rehearsing VBG
reinforce VB
rejected VBN
relations NNS
relationship NN
relatives NNS
relax VB
relaxed VBD
relaxed VBN
relaxes VBZ
relay NN
release NN
released VBD
relentless JJ
reliable JJ
relic NN
relief NN
religion NN
religious JJ
relinquished VBD
relish VB
rely VB
remain VB
remained VBD
remaining VBG
remains VBZ
remark NN
remarked VBD
remarks NNS
remedies NNS
remember VB
remembered VBD
remembered VBN
remembering VBG
remind VB
reminded VBD
reminded VBN
reminder NN
reminiscence NN
remnant NN
remonstrated VBD
remote JJ
remoteness NN
remove VB
removed VBN
rendered VBN
renovated VBN
rent NN
rental JJ
repair NN
repaired VBN
repeated VBN
repeating VBG
repetition NN
repetitive JJ
replaced VBD
replaced VBN
replied VBD
reply VB
report NN
reported VBD
reported VBN
represent VB
reprints NNS
reproach NN
reproduce VB
reputation NN
request NN
requests NNS
requires VBZ
rescue VB
rescued VBN
research NN
researches NNS
resemblance NN
resemble VB
resembled VBD
resembling VBG
resent VB
resented VBD
reserved VBN
resident NN
resign VB
resigned VBN
resist VB
resistance NN
resisted VBN
resolution NN
resolve VB
resolved VBD
resources NNS
respect NN
respected VBN
respectful JJ
respectfully RB
responded VBD
responding VBG
response NN
responsibility NN
responsible JJ
rest NN
rest VB
restaurant NN
restaurants NNS
rested VBN
resting VBG
restless JJ
restricted VBN
restriction NN
rests VBZ
results NNS
resumed VBN
resurgence NN
retired VBN
retreat NN
retreated VBD
retribution NN
retrieve VB
retrospective NN
return NN
return VB
returned VBD
returned VBN
returning VBG
reunions NNS
reveal VB
revealed VBD
reverent JJ
revolting JJ
revolutionized VBN
revolved VBD
revolver NN
reward NN
reward VB
rewarding JJ
rhythm NN
ribbons NNS
rich JJ
riches NNS
richly RB
richness NN
rid JJ
rid VB
ride NN
ride VB
rides NNS
ridge NN
ridiculous JJ
riding VBG
right JJ
right NN
right NR
right QL
right RB
rights NNS
rigid JJ
rigidly RB
rime NN
ring NN
ringing VBG
ringlets NNS
rings NNS
rings VBZ
riot NN
ripe JJ
ripening VBG
ripping VBG
rippled VBD
rise NN
rise VB
risen VBN
rising VBG
risk NN
risky JJ
ritual NN
river NN
road NN
roads NNS
roadway NN
roared VBD
roasted VBD
robbed VBN
robe NN
rock NN
rock-and-roll NN
rock-carved JJ
rocked VBD
rocket NN
rocks NNS
rocky JJ
rode VBD
roll NN
roll VB
rolled VBD
rolled VBN
rolling VBG
romance NN
romantic JJ
roof NN
room NN
rooms NNS
root NN
roots NNS
rope NN
rosaries NNS
rose JJ
rose NN
rose VBD
rosebush NN
roses NNS
rot NN
rotated VBD
rotten JJ
rotundity NN
rough JJ
roulette NN
roulette's NN+BEZ
round JJ
round NN
round RB
round-eyed JJ
rounded VBN
rounding VBG
rounds NNS
rousing VBG
routine JJ
routine NN
row NN
rows NNS
royalty NN
rubbed VBD
rubbed VBN
rubber NN
rubbing VBG
rudely RB
rue NN
ruffled VBN
rug NN
rugged JJ
ruin VB
ruined VBN
ruining VBG
ruins NNS
rule NN
ruled VBD
rulers NNS
rules NNS
rules VBZ
rumpled VBN
run NN
run VB
run VBN
rung VBN
running VBG
runs VBZ
rush NN
rush VB
rushed VBD
rushed VBN
rushes NNS
russe NN
rusted VBN
rustle NN
sacred JJ
sad JJ
saddles NNS
sadly RB
sadness NN
safe JJ
safely RB
sage NN
sagged VBD
said VBD
said VBN
sailed VBD
sailing VBG
saint NN
sake NN
sake UH
salacious JJ
salad NN
salads NNS
salami NN
salary NN
sale NN
sales NNS
salesman NN
salesmen NNS
sallow JJ
salmon NN
salt NN
salute NN
saluted VBD
salvage NN
same AP
sameness NN
sanction VB
sand NN
sandals NNS
sands NNS
sandwich NN
sandwiches NNS
sandy JJ
sang VBD
sank VBD
sap NN
sappy JJ
sat VBD
satin NN
satin-covered JJ
satirist NN
satisfaction NN
satisfactions NNS
satisfied VBN
satisfy VB
satisfying VBG
savage JJ
savagery NN
save VB
savored VBD
saw VBD
sax NN
say FW-VB
say VB
saying VBG
says VBZ
scabrous JJ
scald VB
scalded VBN
scandal NN
scant JJ
scanty JJ
scapegoat NN
scar NN
scare VB
scared VBD
scared VBN
scarf NN
scary JJ
scatterbrained JJ
scattering VBG
scent NN
scented VBN
scheduled VBN
scheme NN
scheming VBG
schnooks NNS
scholarship NN
scholarships NNS
scholastic JJ
school NN
schoolgirls NNS
schools NNS
science NN
scientist NN
scolding VBG
scooted VBD
scorcher NN
scorn NN
scornful JJ
scouring VBG
scowled VBD
scrap NN
scraped VBD
scraping VBG
scrawled VBD
scrawled VBN
scrawny JJ
scream VB
screamed VBD
screaming NN
screaming VBG
screeched VBD
screeching VBG
screen NN
screwed VBN
script NN
scrub VB
scrubbing NN
scrumptious JJ
scrutinized VBD
scudding VBG
scurried VBD
sea NN
sea-damp NN
sealed VBN
sealing VBG
seams NNS
search NN
searching VBG
season NN
seasonal JJ
seasons NNS
seat NN
seated VBN
seating VBG
seaweed NN
second NN
second OD
second-story NN
seconds NNS
secret NN
secretaries NNS
secretary NN
secrets NNS
section NN
secular JJ
security NN
seduction NN
see VB
seed NN
seeing VBG
seek VB
seeking VBG
seekingly RB
seem VB
seemed VBD
seemed VBN
seeming VBG
seems VBZ
seen VBN
sees VBZ
segments NNS
segregated VBN
seized VBD
seldom RB
select VB
self NN
self-confident JJ
self-consciously RB
self-consciousness NN
self-examination NN
self-pity NN
selfish JJ
sell VB
seller NN
semi-professionally RB
send VB
sending NN
sending VBG
sensation NN
sense NN
sense VB
sensed VBD
senses NNS
sensible JJ
sensing VBG
sent VBD
sent VBN
sentence NN
sentimental JJ
sentinel NN
sentinels NNS
separate JJ
separate VB
separated VBN
separation NN
sequence NN
serenaded VBD
serenity NN
series NN
serious JJ
seriously RB
servant NN
servants NNS
serve VB
served VBN
service NN
set NN
set VB
set VBD
set VBN
set-up NN
setting VBG
settle VB
settled VBD
settled VBN
settlement NN
settler NN
settlers NNS
settles VBZ
settling VBG
seven CD
seventeen CD
several AP
severe JJ
sewed VBN
sex NN
sexual JJ
shabby JJ
shackled VBN
shackles NNS
shade NN
shade VB
shaded VBN
shadow NN
shadows NNS
shaft NN
shag NN
shake NN
shake VB
shaken VBN
shakily RB
shaking VBG
shaky JJ
shall MD
shallow JJ
shame NN
shape NN
shape-up JJ
share NN
share VB
shared VBD
sharing VBG
sharks NNS
sharp JJ
sharpened VBN
sharply RB
shaved VBD
shaved VBN
shaving VBG
she PPS
she'd PPS+HVD
she'd PPS+MD
she'll PPS+MD
she's PPS+BEZ
she's PPS+HVZ
sheaf NN
shed VB
sheds NNS
sheds VBZ
sheep NN
sheet NN
sheets NNS
sherbet-colored JJ
shields NNS
shifted VBD
shifting VBG
shill NN
shills NNS
shin NN
shine VB
shingles NNS
shining VBG
ship NN
shipmate NN
ships NNS
shipwrecked VBN
shirt NN
shiver NN
shiver VB
shivered VBD
shivering VBG
shock NN
shocked VBN
shoe NN
shoelaces NNS
shoes NNS
shone VBD
shooing VBG
shook VBD
shop NN
shop VB
shopping NN
shops NNS
shore NN
shores' NNS$
short JJ
short RB
short-cut JJ
shorten VB
shortening VBG
shorter JJR
shortest JJT
shorts NNS
shortstop NN
shot NN
shot VBD
shouders NNS
should MD
shoulder NN
shoulders NNS
shouldn't MD*
shouted VBD
shouting NN
shouting VBG
shoved VBD
shoving VBG
show NN
show VB
show-offy JJ
showed VBD
showed VBN
shower NN
showered VBD
showering VBG
showing VBG
showroom NN
shriek VB
shrill JJ
shrilled VBD
shrilly RB
shrimp NN
shriveled VBN
shrubs NNS
shrugged VBD
shudder VB
shuddered VBD
shuddering VBG
shuffled VBD
shuffling VBG
shut VB
shut VBD
shut VBN
shuttered VBN
shy JJ
sick JJ
sicker JJR
sickly-tolerant JJ
side NN
sides NNS
sidewalk NN
sigh NN
sighed VBD
sighing VBG
sight NN
sights NNS
sign NN
signal NN
signals NNS
signed VBD
signed VBN
significance NN
silence NN
silenced VBN
silences NNS
silent JJ
silently RB
sill NN
silly JJ
silver NN
similar JJ
similarly RB
simmer VB
simple JJ
simplicity NN
simplify VB
simply RB
sin NN
since CS
since IN
since RB
sincere JJ
sinewy JJ
sing VB
singing NN
single AP
single-foot VB
singsonged VBD
sinister JJ
sink NN
sink VB
sipping VBG
sir NN
sister NN
sister's NN$
sisters NNS
sit VB
sitters NNS
sitting VBG
situ FW-NN
situation NN
six CD
six-month JJ
six-thirty CD
sixteen CD
sixth OD
sixty CD
size NN
skeleton NN
skeletons NNS
sketch NN
skiing VBG
skilled JJ
skillfully RB
skin NN
skinny JJ
skins NNS
skipped VBD
skirt NN
skirt VB
skirts NNS
skull NN
skullcap NN
sky NN
skyscraper NN
slackened VBN
slacks NNS
slammed VBD
slammed VBN
slang NN
slant NN
slanted VBN
slap VB
slapped VBN
slashed VBD
slaughtering VBG
slaying VBG
sleep NN
sleep VB
sleeping VBG
sleepwalker NN
sleeves NNS
slender JJ
slept VBD
slept VBN
slick JJ
slicker NN
slid VBD
slide NN
slide VB
sliding VBG
slight JJ
slightly QL
slightly RB
slip NN
slipped VBD
slipped VBN
slope NN
sloping VBG
slopping VBG
sloppy JJ
slots NNS
slow JJ
slow RB
slowed VBD
slowly RB
slumbered VBD
sly JJ
slyly RB
smack VB
smacked VBD
small JJ
small-car NN
smaller JJR
smart JJ
smartly RB
smashed VBD
smashed VBN
smear NN
smell NN
smelled VBD
smelled VBN
smelling VBG
smile NN
smile VB
smiled VBD
smiled VBN
smiling VBG
smoke NN
smoke VB
smoked VBD
smoked VBN
smokes VBZ
smooth JJ
smooth VB
smoothed VBD
smoothness NN
smothered VBD
smothered VBN
smug JJ
snag VB
snake NN
snakes NNS
snap VB
snapped VBD
snapped VBN
snapper NN
snarled VBD
snarling VBG
sneakers NNS
sneaky JJ
sneezed VBN
sneezing VBG
snippy JJ
snobbery NN
snobs NNS
snoring VBG
snort NN
snorted VBD
snow NN
snow-fence NN
snowing VBG
snowy JJ
snuck VBD
snuggled VBD
snugly RB
so CS
so QL
so RB
soap NN
sobbed VBD
sobbed VBN
sober JJ
sobering VBG
soberly RB
social JJ
socially RB
society NN
socio-archaeological JJ
soda NN
soft JJ
softening VBG
softly RB
softness NN
soil NN
sold VBD
soldier NN
soldierly JJ
solemn JJ
solemnly RB
soles NNS
solid JJ
solitary JJ
solo VB
solos VBZ
solution NN
some DTI
somebody PN
someday RB
somehow RB
someone PN
someone's PN$
someplace RB
something PN
sometime RB
sometimes RB
somewhat QL
somewhat RB
somewhere NN
somewhere RB
somewheres RB
sommelier NN
son NN
son's NN$
son-of-a-bitch NN
song NN
sonny NN
sonofabitch NN
sons NNS
soon RB
soon's RB+CS
sooner RBR
soothe VB
soothed VBD
sophisticated JJ
sops NNS
sor'l JJ
sore JJ
sorrow NN
sorry JJ
sort NN
sort RB
sorted VBD
sorts NNS
sought VBD
soul NN
soul-searching JJ
sound JJ
sound NN
sound VB
sounded VBD
sounded VBN
sounds NNS
sounds VBZ
soup NN
sour JJ
soutane NN
south NR
souvenirs NNS
spa NN
space NN
span NN
span VB
spangle NN
spare JJ
spare VB
spared VBN
sparkle NN
sparkled VBD
sparkling VBG
spasm NN
spat NN
spat VBD
spats NNS
speak VB
speaking VBG
special JJ
special NN
specialized VBD
specialized VBN
specialty NN
specifically RB
spectator NN
spectators NNS
specter NN
sped VBD
speech NN
speeches NNS
speechless JJ
speeding VBG
spellbound VBN
spend VB
spending NN
spent VBD
spent VBN
sphere NN
spigots NNS
spilled VBD
spinning VBG
spire NN
spirit NN
spirits NNS
spiritual JJ
spit VB
splashed VBD
splashy JJ
splayed VBD
splendid JJ
splendidly RB
splendor NN
splintered VBN
spoiled VBN
spoke VBD
spoken VBN
sponge NN
sponsoring VBG
sport NN
sports NNS
spot NN
spots NNS
spotting VBG
spouted VBD
sprang VBD
sprawled VBD
sprawled VBN
sprawling VBG
spray NN
sprayed VBD
spread VB
spread VBD
spread VBN
spreads VBZ
spring NN
spring VB
sprinkle NN
sprinkling NN
sprouted VBD
spruce NN
sprung VBN
spun VBD
spurred VBD
square JJ
square NN
square VB
squat VB
squatted VBD
squatter's NN$
squeeze VB
squeezed VBD
squelched VBN
squinting VBG
squirt NN
squirted VBD
stab NN
stabilizing VBG
stable-garage NN
stables NNS
stack NN
staff NN
stag NN
stage NN
staggering VBG
stained VBN
stains NNS
stair NN
staircase NN
stairs NNS
stairway NN
stairways NNS
stake NN
stale JJ
stalked VBD
stall NN
stammered VBD
stamp VB
stamping VBG
stand NN
stand VB
standing NN
standing VBG
stands NNS
stands VBZ
starched VBN
stare VB
stared VBD
staring VBG
stark JJ
starring VBG
stars NNS
start NN
start VB
started VBD
started VBN
startled VBN
starving VBG
state NN
stated VBN
statement NN
statements NNS
states NNS
static JJ
station NN
statistics NNS
statue NN
staunch JJ
stay NN
stay VB
stayed VBD
stayed VBN
staying VBG
stays NNS
steadily RB
steady JJ
steak NN
steal VB
stealer NN
steam NN
steamed VBN
steaming VBG
steel NN
steels NNS
steely JJ
steep JJ
steep NN
steeped VBN
steered VBD
steering VBG
stem NN
step NN
step VB
stepped VBD
stepped VBN
steps NNS
stern JJ
stick NN
sticking VBG
stickman NN
sticks NNS
stiff JJ
stifling VBG
still JJ
still QL
still RB
stillness NN
stills NNS
stimulating JJ
stimulation NN
sting VB
stint NN
stir VB
stirred VBD
stirring VBG
stock NN
stockholders NNS
stockings NNS
stole VBD
stolen VBN
stomach NN
stone NN
stones NNS
stony JJ
stood VBD
stood VBN
stool NN
stooooomp VB
stoop VB
stop NN
stop VB
stopped VBD
stopped VBN
store NN
stored VBN
stories NNS
storm NN
storm VB
stormbound JJ
stormy JJ
story NN
stove NN
straddled VBD
straddling VBG
straight JJ
straight RB
straight-A JJ
straighten VB
straightened VBD
straightened VBN
strain NN
strained VBD
straining VBG
stranded VBN
strands NNS
strange JJ
stranger NN
strangers NNS
strangers' NNS$
straps NNS
strategy NN
straw NN
stray JJ
streaked VBD
stream NN
streaming VBG
street NN
streetcar NN
streetcars NNS
streetlight NN
streets NNS
strength NN
strenuous JJ
stress NN
stretch VB
stretched VBD
stretched VBN
strewn VBN
strict JJ
stride VB
strides NNS
strike NN
strikingly RB
string NN
strip NN
stripped VBD
strive VB
strode VBD
strong JJ
strongly RB
struck VBD
structure NN
struggle NN
struggle VB
struggled VBD
strut NN
strutted VBD
stubble NN
stubborn JJ
stubby JJ
stubs NNS
stucco NN
stuck VBD
stuck VBN
student NN
students NNS
studied VBD
studied VBN
studies NNS
studio NN
study NN
study VB
studying VBG
stuff NN
stuff VB
stumbled VBD
stumpy JJ
stupid JJ
stupidity NN
stupor NN
style NN
sub-assembly NN
subconsciously RB
subdued VBN
subject NN
submit VB
subordinate JJ
subside VB
subsist VB
substitute NN
substituted VBD
subtle JJ
succeed VB
succeeded VBD
success NN
successful JJ
succession NN
such ABL
such JJ
suck VB
sudden JJ
suddenly RB
suffer VB
suffered VBD
suffered VBN
suggest VB
suggested VBD
suggested VBN
suggestions NNS
suicide NN
suit NN
suitcase NN
suited VBD
suited VBN
suits NNS
sulked VBD
sullen JJ
sullenly RB
summer NN
summers NNS
summertime NN
summoned VBD
sun NN
sun's NN+BEZ
sun-burned JJ
sun-suit NN
sun-tan NN
sun-warmed JJ
sunburn NN
sundials NNS
sunk VBN
sunlight NN
sunny JJ
sunshine NN
superficial JJ
superhuman JJ
superior JJ
supervising VBG
supper NN
suppleness NN
supplicating VBG
supplies NNS
support NN
supporting VBG
suppose VB
supposed VBD
supposed VBN
supposedly RB
supremely QL
supremely RB
surcease NN
sure JJ
sure RB
surely RB
surface NN
surgery NN
surging VBG
surly JJ
surprise NN
surprised VBN
surprising VBG
surprisingly RB
surrendered VBD
surrounded VBD
surrounded VBN
surveyed VBD
survive VB
susceptible JJ
suspected VBD
suspected VBN
suspicious JJ
sustain VB
swabbed VBD
swallowed VBD
swallowed VBN
swallows NNS
swam VBD
swayed VBD
swayed VBN
swaying VBG
swear VB
swearing VBG
swears VBZ
sweat NN
sweater NN
sweaters NNS
sweatshirt NN
sweep VB
sweeping VBG
sweet JJ
sweeter JJR
sweetheart NN
sweetly RB
sweetpeas NNS
swell JJ
swelled VBD
swelling VBG
swept VBD
swerving VBG
swift JJ
swiftly RB
swim VB
swimming VBG
swing VB
swinging VBG
swings NNS
swiping VBG
swirled VBD
swirling VBG
switch NN
switched VBD
swollen VBN
swooping VBG
sword NN
swung VBD
symbol NN
symbolized VBD
symbols NNS
sympathetic JJ
sympathize VB
sympathy NN
symphony NN
synagogues NNS
system NN
t's NN
table NN
tables NNS
tactful JJ
tactics NNS
tagged VBN
tail NN
tailored VBN
tails NNS
take VB
taken VBN
takes VBZ
takin' VBG
taking VBG
tale NN
talent NN
talk NN
talk VB
talked VBD
talked VBN
talking VBG
tall JJ
taller JJR
talons NNS
tame JJ
tan JJ
tan NN
tangible JJ
tangle NN
tango NN
tank NN
tanks NNS
tanned VBN
tap NN
tape NN
tapered VBN
tapering VBG
tapping NN
target NN
tart NN
taste NN
taste VB
tasted VBD
tattered VBN
taught VBD
taught VBN
taut JJ
tawny JJ
taxes NNS
taxi NN
taxis NNS
tea NN
tea-drinking JJ
teach VB
teacher NN
teachers NNS
teaches VBZ
teaching VBG
team NN
team-mate NN
teamed VBD
tear VB
tears NNS
teas NNS
teasing VBG
teats NNS
technical JJ
teddy NN
teeth NNS
teething VBG
telegraph VB
telephone NN
telephoning NN
telephoning VBG
telescoped VBN
television NN
televison-record NN
tell VB
tell-tale JJ
telling VBG
tells VBZ
temperament NN
temperature NN
temple NN
temples NNS
temporary JJ
temptation NN
tempted VBN
ten CD
tenant NN
tenants NNS
tender JJ
tenderly RB
tennis NN
tense JJ
tense NN
tension NN
tenth OD
termed VBN
terms NNS
terrestrial JJ
terrible JJ
terribly QL
terribly RB
terrier NN
terrifying VBG
territory NN
terror NN
test NN
test VB
testament NN
testimony NN
text NN
texts NNS
texture NN
than CS
than IN
thank VB
thanked VBD
thankful JJ
thanks NNS
that CS
that DT
that QL
that WPS
that's DT+BEZ
that's WPS+BEZ
the AT
the AT-TL
theater NN
thee PPO
their PP$
them PPO
theme NN
themselves PPLS
then JJ
then RB
therapeutic JJ
there EX
there RB
there's EX+BEZ
thereafter RB
therefore RB
these DTS
they PPSS
they'd PPSS+HVD
they'd PPSS+MD
they'll PPSS+MD
they're PPSS+BER
thick JJ
thick-skulled JJ
thickened VBD
thicker JJR
thickest JJT
thickly RB
thief NN
thighs NNS
thimble NN
thin JJ
thin-soled JJ
thing NN
things NNS
think VB
thinkers NNS
thinking NN
thinking VBG
thinks VBZ
thinner JJR
thinning VBG
third OD
thirst NN
thirteen CD
thirty CD
thirty-five CD
thirty-four CD
this DT
this'll DT+MD
thorns NNS
thorough JJ
thoroughly RB
those DTS
though CS
though RB
thought NN
thought VBD
thought VBN
thoughtful JJ
thoughtfully RB
thoughts NNS
thousand CD
thousand-legged JJ
thousands NNS
thousandth OD
threat NN
threats NNS
three CD
threshold NN
threw VBD
throat NN
throbbed VBD
throes NNS
throttle NN
through IN
through RP
throughout IN
throw NN
throw VB
thrown VBN
thrusting VBG
thumb NN
thumbs NNS
thump NN
thunder NN
ticking VBG
ticks NNS
tide NN
tide VB
tidiness NN
tidings NNS
tie VB
tied VBD
tied VBN
tight JJ
tightened VBD
tightly RB
tiles NNS
till CS
tilted VBD
tilted VBN
time NN
time VB
time-cast JJ
times NNS
timid JJ
timidly RB
tiniest JJT
tinkers NNS
tinkling VBG
tint NN
tiny JJ
tipped VBD
tips NNS
tipsy JJ
tire NN
tired VBN
tiredness NN
tireless JJ
tissues NNS
title NN
titters NNS
to IN
to TO
to-and-fro RB
to-do NN
toast NN
today NR
toes NNS
together RB
toilet NN
toilsome JJ
token JJ
token NN
told VBD
told VBN
tolerance NN
tomato NN
tomb NN
tombs NNS
tomes NNS
tomorrow NR
tone NN
tones NNS
tongue NN
tonics NNS
tonight NR
tons NNS
tonsil NN
too QL
too RB
too-expensive JJ
too-shiny JJ
took VBD
tool NN
tool-kit NN
tooling VBG
tooth-paste NN
toothbrush NN
top JJS
top NN
topcoat NN
topgallant NN
topic NN
tore VBD
torn VBN
tossed VBD
tossed VBN
totally RB
touch NN
touch VB
touched VBD
touching VBG
tough JJ
tourist NN
tourists NNS
tours NNS
tousled VBN
toward IN
towards IN
towel NN
tower NN
towering VBG
town NN
towns NNS
trace NN
traces NNS
tracing VBG
tracings NNS
tracking VBG
tractor NN
trade NN
trade VB
traffic NN
tragic JJ
trail NN
