Thirty-three CD-HL
many AP
other AP
ones NNS
she'd PPS+HVD
found VBN
, ,
saying VBG
nothing PN
. .
Pa NN-TL
was BEDZ
sure JJ
to TO
find VB
out RP
. .
Sometimes RB
he PPS
didn't DOD*
seem VB
to IN
because CS
he PPS
hid VBD
them PPO
so QL
well RB
he PPS
couldn't MD*
find VB
them PPO
himself PPL
or CC
because CS
he PPS
looked VBD
and CC
didn't DOD*
find VB
anything PN
and CC
figured VBD
he PPS
hadn't HVD*
hid VBD
one CD
after IN
all ABN
or CC
had HVD
drunk JJ
it PPO
up RP
. .
But CC
he'd PPS+MD
find VB
out RP
about IN
this DT
one CD
because CS
we PPSS
were BED
using VBG
it PPO
. .
A AT
fool NN
could MD
see VB
what WDT
was BEDZ
going VBG
on RP
. .
If CS
he PPS
found VBD
out RP
Ma NN-TL
found VBD
it PPO
-- --
that'd WPS+MD
be BE
bad JJ
. .
He PPS
took VBD
pride NN
in IN
his PP$
hiding NN
. .
It PPS
was BEDZ
all ABN
the AT
pride NN
he PPS
had HVD
. .
I PPSS
guess VB
fooling VBG
Hans NP
and CC
me PPO
took VBD
doing VBG
. .
But CC
he PPS
didn't DOD*
figure VB
Ma NN-TL
for IN
much AP
. .
He PPS
didn't DOD*
figure VB
her PPO
at IN
all ABN
, ,
and CC
if CS
he PPS
found VBD
out RP
a AT
woman NN
it'd PPS+MD
be BE
bad JJ
. .
Hans NP
poured VBD
some DTI
in IN
a AT
tumbler NN
. .
`` ``
You PPSS
going VBG
to TO
put VB
more AP
towels NNS
on IN
him PPO
'' ''
? .
? .
`` ``
No RB
'' ''
. .
`` ``
Why WRB
not *
? .
? .
That's DT+BEZ
what WDT
he PPS
needs VBZ
, ,
something PN
warm JJ
to IN
his PP$
skin NN
, ,
don't DO*
he PPS
'' ''
? .
? .
`` ``
Not *
where WRB
he's PPS+BEZ
froze VBN
good JJ
. .
Heat's NN+BEZ
bad JJ
for IN
frostbite NN
. .
That's DT+BEZ
why WRB
I PPSS
only RB
put VBD
towels NNS
on IN
his PP$
chest NN
and CC
belly NN
. .
He's PPS+HVZ
got VBN
to TO
thaw VB
slow RB
. .
You PPSS
ought MD
to TO
know VB
that DT
'' ''
. .
Colors NNS
on IN
the AT
towels NNS
had HVD
run VBN
. .
Ma NN-TL
poked VBD
her PP$
toe NN
in IN
the AT
kid's NN$
clothes NNS
. .
`` ``
What WDT
are BER
we PPSS
going VBG
to TO
do DO
with IN
these DTS
'' ''
? .
? .
Big JJ-TL
Hans NP-TL
began VBD
pouring VBG
whisky NN
in IN
the AT
kid's NN$
mouth NN
but CC
his PP$
mouth NN
filled VBD
without IN
any DTI
getting VBG
down IN
his PP$
throat NN
and CC
in IN
a AT
second OD
it PPS
was BEDZ
dripping VBG
from IN
his PP$
chin NN
. .
`` ``
Here RB
, ,
help VB
me PPO
prop VB
him PPO
up RP
. .
I PPSS
got VBD
hold VB
his PP$
mouth NN
open JJ
'' ''
. .
I PPSS
didn't DOD*
want VB
to TO
touch VB
him PPO
and CC
I PPSS
hoped VBD
Ma NN-TL
would MD
do DO
it PPO
but CC
she PPS
kept VBD
looking VBG
at IN
the AT
kid's NN$
clothes NNS
piled VBN
on IN
the AT
floor NN
and CC
the AT
pool NN
of IN
water NN
by IN
them PPO
and CC
didn't DOD*
make VB
any DTI
move NN
to TO
. .
`` ``
Come VB
on RP
, ,
Jorge NP
'' ''
. .
`` ``
All QL
right RB
'' ''
. .
`` ``
Lift VB
, ,
don't DO*
shove VB
lift VB
'' ''
. .
`` ``
O.K. UH
, ,
I'm PPSS+BEM
lifting VBG
'' ''
. .
I PPSS
took VBD
him PPO
by IN
the AT
shoulders NNS
. .
His PP$
head NN
flopped VBD
back RB
. .
His PP$
mouth NN
fell VBD
open JJ
. .
The AT
skin NN
on IN
his PP$
neck NN
was BEDZ
tight JJ
. .
He PPS
was BEDZ
cold JJ
all QL
right RB
. .
`` ``
Hold VB
his PP$
head NN
up RP
. .
He'll PPS+MD
choke VB
'' ''
. .
`` ``
His PP$
mouth NN
is BEZ
open JJ
'' ''
. .
`` ``
His PP$
throat's NN+BEZ
shut VBN
. .
He'll PPS+MD
choke VB
'' ''
. .
`` ``
He'll PPS+MD
choke VB
anyway RB
'' ''
. .
`` ``
Hold VB
his PP$
head NN
up RP
'' ''
. .
`` ``
I PPSS
can't MD*
'' ''
. .
`` ``
Don't DO*
hold VB
him PPO
like CS
that DT
. .
Put VB
your PP$
arms NNS
around IN
him PPO
'' ''
. .
`` ``
Well UH
Jesus UH
'' ''
. .
He PPS
was BEDZ
cold JJ
all QL
right RB
. .
I PPSS
put VB
my PP$
arm NN
carefully RB
around IN
him PPO
. .
Hans NP
had HVD
his PP$
fingers NNS
in IN
the AT
kid's NN$
mouth NN
. .
`` ``
Now RB
he'll PPS+MD
choke VB
for IN
sure JJ
'' ''
. .
`` ``
Shut VB
up RP
. .
Just RB
hold VB
him PPO
like CS
I PPSS
told VBD
you PPO
'' ''
. .
He PPS
was BEDZ
cold JJ
all QL
right RB
, ,
and CC
wet JJ
. .
I PPSS
had HVD
my PP$
arm NN
behind IN
his PP$
back NN
. .
He PPS
was BEDZ
in IN
his PP$
mid-fifties NNS
at IN
this DT
time NN
, ,
long JJ
past IN
the AT
establishment NN
of IN
his PP$
name NN
and CC
the AT
wish NN
to TO
be BE
lionized VBN
yet QL
once RB
again RB
, ,
and CC
it PPS
was BEDZ
almost RB
a AT
decade NN
since CS
he PPS
had HVD
sworn VBN
off RP
lecturing VBG
. .
There EX
was BEDZ
never RB
a AT
doubt NN
any DTI
more RBR
how WRB
his PP$
structures NNS
would MD
be BE
received VBN
; .
; .
it PPS
was BEDZ
always RB
the AT
same AP
unqualified JJ
success NN
now RB
. .
He PPS
could MD
no AT
longer JJR
build VB
anything PN
, ,
whether CS
a AT
private JJ
residence NN
in IN
his PP$
Pennsylvania NP
county NN
or CC
a AT
church NN
in IN
Brazil NP
, ,
without IN
it PPO
being BEG
obvious JJ
that CS
he PPS
had HVD
done VBN
it PPO
, ,
and CC
while CS
here RB
and CC
there RB
he PPS
was BEDZ
taken VBN
to IN
task NN
for IN
again RB
developing VBG
the AT
same AP
airy JJ
technique NN
, ,
they PPSS
were BED
such QL
fanciful JJ
and CC
sometimes RB
even RB
playful JJ
buildings NNS
that CS
the AT
public NN
felt VBD
assured VBN
by IN
its PP$
sense NN
of IN
recognition NN
after IN
a AT
time NN
, ,
a AT
quality NN
of IN
authentic JJ
uniqueness NN
about IN
them PPO
, ,
which WDT
, ,
once RB
established VBN
by IN
an AT
artist NN
as CS
his PP$
private JJ
vision NN
, ,
is BEZ
no AT
longer JJR
disputable JJ
as IN
to IN
its PP$
other AP
values NNS
. .
Stowey NP
Rummel NP
was BEDZ
internationally RB
famous JJ
, ,
a AT
crafter NN
of IN
a AT
genuine JJ
Americana NP
in IN
foreign JJ
eyes NNS
, ,
an AT
original JJ
designer NN
whose WP$
inventive JJ
childishness NN
with IN
steel NN
and CC
concrete NN
was BEDZ
made VBN
even QL
more QL
believably RB
sincere JJ
by IN
his PP$
personality NN
. .
He PPS
had HVD
lived VBN
for IN
almost RB
thirty CD
years NNS
in IN
this DT
same AP
stone NN
farmhouse NN
with IN
the AT
same AP
wife NN
, ,
a AT
remarkably RB
childish JJ
thing NN
in IN
itself PPL
; .
; .
he PPS
rose VBD
at IN
half-past JJ
six CD
every AT
morning NN
, ,
made VBD
himself PPL
some DTI
French JJ
coffee NN
, ,
had HVD
his PP$
corn NN
flakes NNS
and CC
more AP
coffee NN
, ,
smoked VBD
four CD
cigarettes NNS
while CS
reading VBG
last AP
Sunday's NR$
Herald NN-TL
Tribune NN-TL
and CC
yesterday's NR$
Pittsburgh NP-TL
Gazette NN-TL
, ,
then RB
put VBD
on IN
his PP$
high-topped JJ
farmer's NN$
shoes NNS
and CC
walked VBD
under IN
a AT
vine NN
bower NN
to IN
his PP$
workshop NN
. .
This DT
was BEDZ
an AT
enormously RB
long JJ
building NN
whose WP$
walls NNS
were BED
made VBN
of IN
rocks NNS
, ,
some DTI
of IN
them PPO
brought VBN
home NR
from IN
every AT
continent NN
during IN
his PP$
six CD
years NNS
as CS
an AT
oil NN
geologist NN
. .
The AT
debris NN
of IN
his PP$
other AP
careers NNS
was BEDZ
piled VBN
everywhere RB
; .
; .
a AT
pile NN
of IN
wire NN
cages NNS
for IN
mice NNS
from IN
his PP$
time NN
as CS
a AT
geneticist NN
and CC
a AT
microscope NN
lying VBG
on IN
its PP$
side NN
on IN
the AT
window NN
sill NN
, ,
vertical JJ
steel NN
columns NNS
wired VBN
for IN
support NN
to IN
the AT
open JJ
ceiling NN
beams NNS
with IN
spidery JJ
steel NN
cantilevers NNS
jutting VBG
out RP
into IN
the AT
air NN
, ,
masonry JJ
constructions NNS
on IN
the AT
floor NN
from IN
the AT
time NN
he PPS
was BEDZ
inventing VBG
his PP$
disastrous JJ
fireplace NN
whose WP$
smoke NN
would MD
pass VB
through IN
a AT
whole JJ
house NN
, ,
visible JJ
all ABN
the AT
way NN
up RP
through IN
wire NN
gratings NNS
on IN
each DT
floor NN
. .
His PP$
files NNS
, ,
desk NN
, ,
drafting VBG
board NN
and CC
a AT
high JJ
stool NN
formed VBD
the AT
only AP
clean JJ
island NN
in IN
the AT
chaos NN
. .
Everywhere NN
else RB
his PP$
ideas NNS
lay VB
or CC
hung VBD
in IN
visible JJ
form NN
: :
his PP$
models NNS
, ,
drawings NNS
, ,
ten-foot JJ
canvases NNS
in IN
monochromes NNS
from IN
his PP$
painting NN
days NNS
, ,
and CC
underfoot RB
a AT
windfall NN
of IN
broken-backed JJ
books NNS
that WPS
looked VBD
as CS
though CS
their PP$
insides NNS
had HVD
been BEN
ransacked VBN
by IN
a AT
maniac NN
. .
Bicycle NN
gear-sets NNS
he PPS
had HVD
once RB
used VBN
as CS
the AT
basis NN
of IN
the AT
design NN
for IN
the AT
Camden NP-TL
Cycly NN-TL
Company NN-TL
plant NN
hung VBD
on IN
a AT
rope NN
in IN
one CD
corner NN
, ,
and CC
over IN
his PP$
desk NN
, ,
next IN
to IN
several AP
old JJ
and CC
dusty JJ
hats NNS
, ,
was BEDZ
a AT
clean JJ
pair NN
of IN
roller NN
skates NNS
which WDT
he PPS
occasionally RB
used VBD
up RP
and CC
down RP
in IN
front NN
of IN
his PP$
house NN
. .
He PPS
worked VBD
standing VBG
, ,
with IN
his PP$
left JJ
hand NN
in IN
his PP$
pocket NN
as CS
though CS
he PPS
were BED
merely RB
stopping VBG
for IN
a AT
moment NN
, ,
sketching VBG
with IN
the AT
surprised VBN
stare NN
of IN
one CD
who WPS
was BEDZ
watching VBG
another DT
person's NN$
hand NN
. .
Sometimes RB
he PPS
would MD
grunt VB
softly RB
to IN
some DTI
invisible JJ
onlooker NN
beside IN
him PPO
, ,
sometimes RB
he PPS
would MD
look VB
stern JJ
and CC
moralistic JJ
as CS
his PP$
pencil NN
did DOD
what WDT
he PPS
disapproved VBD
. .
It PPS
all ABN
seemed VBD
-- --
if CS
one CD
could MD
have HV
peeked VBN
in IN
at IN
him PPO
through IN
one CD
of IN
his PP$
windows NNS
-- --
as CS
though CS
this DT
broken-nosed JJ
man NN
with IN
the AT
muscular JJ
arms NNS
and CC
wrestler's NN$
neck NN
was BEDZ
merely RB
the AT
caretaker NN
trying VBG
his PP$
hand NN
at IN
the AT
boss's NN$
work NN
. .
This DT
air NN
of IN
disengagement NN
carried VBD
over RP
to IN
his PP$
apparent JJ
attitude NN
toward IN
his PP$
things NNS
, ,
and CC
people NNS
often RB
mistook VBD
it PPO
for IN
boredom NN
in IN
him PPO
or CC
a AT
surrender NN
to IN
repetitious JJ
routine NN
. .
But CC
he PPS
was BEDZ
not *
bored VBN
at IN
all ABN
; .
; .
he PPS
had HVD
found VBN
his PP$
style NN
quite QL
early RB
in IN
his PP$
career NN
and CC
he PPS
thought VBD
it PPO
quite QL
wonderful JJ
that CS
the AT
world NN
admired VBD
it PPO
, ,
and CC
he PPS
could MD
not *
imagine VB
why WRB
he PPS
should MD
alter VB
it PPO
. .
There EX
are BER
, ,
after IN
all ABN
, ,
fortunate JJ
souls NNS
who WPS
hear VB
everything PN
, ,
but CC
only RB
know VB
how WRB
to TO
listen VB
to IN
what WDT
is BEZ
good JJ
for IN
them PPO
, ,
and CC
Stowey NP
was BEDZ
, ,
as CS
things NNS
go VB
, ,
a AT
fortunate JJ
man NN
. .
He PPS
left VBD
his PP$
home NR
the AT
day NN
after IN
New JJ-TL
Year's NN$-TL
wearing VBG
a AT
mackinaw NN
and CC
sheepskin NN
mittens NNS
and CC
without IN
a AT
hat NN
. .
He PPS
would MD
wear VB
this DT
same AP
costume NN
in IN
Florida NP
, ,
despite IN
his PP$
wife NN
Cleota's NP$
reminders NNS
over IN
the AT
past AP
five CD
days NNS
that CS
he PPS
must MD
take VB
some DTI
cool JJ
clothes NNS
with IN
him PPO
. .
But CC
he PPS
was BEDZ
too QL
busy JJ
to TO
hear VB
what WDT
she PPS
was BEDZ
saying VBG
. .
So CS
they PPSS
parted VBD
when WRB
she PPS
was BEDZ
in IN
an AT
impatient JJ
humor NN
. .
When WRB
he PPS
was BEDZ
bent VBN
over RP
behind IN
the AT
wheel NN
of IN
the AT
station NN
wagon NN
, ,
feeling VBG
in IN
his PP$
trouser NN
cuffs NNS
for IN
the AT
ignition NN
key NN
which WDT
he PPS
had HVD
dropped VBN
a AT
moment NN
before RB
, ,
she PPS
came VBD
out IN
of IN
the AT
house NN
with IN
an AT
enormous JJ
Rumanian JJ
shawl NN
over IN
her PP$
head NN
, ,
which WDT
she PPS
had HVD
bought VBN
in IN
that DT
country NN
during IN
one CD
of IN
their PP$
trips NNS
abroad RB
, ,
and CC
handed VBD
him PPO
a AT
clean JJ
handkerchief NN
through IN
the AT
window NN
. .
Finding VBG
the AT
key NN
under IN
his PP$
shoe NN
, ,
he PPS
started VBD
the AT
engine NN
, ,
and CC
while CS
it PPS
warmed VBD
up RP
he PPS
turned VBD
to IN
her PPO
standing VBG
there RB
in IN
the AT
dripping VBG
fog NN
, ,
and CC
said VBD
, ,
`` ``
Defrost VB
the AT
refrigerator NN
'' ''
. .
He PPS
saw VBD
the AT
surprise NN
in IN
her PP$
face NN
, ,
and CC
laughed VBD
as CS
though CS
it PPS
were BED
the AT
funniest JJT
expression NN
he PPS
had HVD
ever RB
seen VBN
. .
He PPS
kept VBD
on RP
laughing VBG
until CS
she PPS
started VBD
laughing VBG
with IN
him PPO
. .
He PPS
had HVD
a AT
deep JJ
voice NN
which WDT
was BEDZ
full JJ
of IN
good JJ
food NN
she PPS
had HVD
cooked VBN
, ,
and CC
good JJ
humor NN
; .
; .
an AT
explosive JJ
laugh NN
which WDT
always RB
carried VBD
everything PN
before IN
it PPO
. .
He PPS
would MD
settle VB
himself PPL
into IN
his PP$
seat NN
to TO
laugh VB
. .
Whenever WRB
he PPS
laughed VBD
it PPS
was BEDZ
all ABN
he PPS
was BEDZ
doing VBG
. .
And CC
she PPS
was BEDZ
made VBN
to TO
fall VB
in IN
love NN
with IN
him PPO
again RB
there RB
in IN
the AT
rutted VBN
dirt NN
driveway NN
standing VBG
in IN
the AT
cold JJ
fog NN
, ,
mad JJ
as CS
she PPS
was BEDZ
at IN
his PP$
going VBG
away RB
when WRB
he PPS
really RB
didn't DOD*
have HV
to TO
, ,
mad JJ
at IN
their PP$
both ABX
having HVG
got VBN
older JJR
in IN
a AT
life NN
that WPS
seemed VBD
to TO
have HV
taken VBN
no AT
more AP
than IN
a AT
week NN
to TO
go VB
by IN
. .
She PPS
was BEDZ
forty-nine CD
at IN
this DT
time NN
, ,
a AT
lanky JJ
woman NN
of IN
breeding VBG
with IN
an AT
austere JJ
, ,
narrow JJ
face NN
which WDT
had HVD
the AT
distinction NN
of IN
a AT
steeple NN
or CC
some DTI
architecture NN
that DT
had HVD
been BEN
designed VBN
long JJ
ago RB
for IN
a AT
stubborn JJ
sort NN
of IN
prayer NN
. .
Her PP$
eyebrows NNS
were BED
definite JJ
and CC
heavy JJ
and CC
formed VBD
two CD
lines NNS
moving VBG
upward RB
toward IN
a AT
high JJ
forehead NN
and CC
a AT
great JJ
head NN
of IN
brown JJ
hair NN
that WPS
fell VBD
to IN
her PP$
shoulders NNS
. .
There EX
was BEDZ
an AT
air NN
of IN
blindness NN
in IN
her PP$
gray JJ
eyes NNS
, ,
the AT
startled-horse NN
look NN
that WPS
ultimately RB
comes VBZ
to IN
some DTI
women NNS
who WPS
are BER
born VBN
at IN
the AT
end NN
of IN
an AT
ancestral JJ
line NN
long JJ
since IN
divorced VBN
from IN
money-making NN
and CC
which WDT
, ,
besides RB
, ,
has HVZ
kept VBN
its PP$
estate NN
intact JJ
. .
She PPS
was BEDZ
personally RB
sloppy JJ
, ,
and CC
when WRB
she PPS
had HVD
colds NNS
would MD
blow VB
her PP$
nose NN
in IN
the AT
same AP
handkerchief NN
all ABN
day NN
and CC
keep VB
it PPO
, ,
soaking QL
wet JJ
, ,
dangling VBG
from IN
her PP$
waist NN
, ,
and CC
when WRB
she PPS
gardened VBD
she PPS
would MD
eat VB
dinner NN
with IN
dirt NN
on IN
her PP$
calves NNS
. .
But CC
just RB
when WRB
she PPS
seemed VBD
to TO
have HV
sunk VBN
into IN
some DTI
depravity NN
of IN
peasanthood NN
she PPS
would MD
disappear VB
and CC
come VB
down RP
bathed VBN
, ,
brushed VBN
, ,
and CC
taking VBG
breaths NNS
of IN
air NN
, ,
and CC
even RB
with IN
her PP$
broken VBN
nails NNS
her PP$
hands NNS
would MD
come VB
to TO
rest VB
on IN
a AT
table NN
or CC
a AT
leaf NN
with IN
a AT
thoughtless JJ
delicacy NN
, ,
a AT
grace NN
of IN
history NN
, ,
so RB
to TO
speak VB
, ,
and CC
for IN
an AT
instant NN
one PN
saw VBD
how WRB
ferociously RB
proud JJ
she PPS
was BEDZ
and CC
adamant JJ
on IN
certain JJ
questions NNS
of IN
personal JJ
value NN
. .
She PPS
even RB
spoke VBD
differently RB
when WRB
she PPS
was BEDZ
clean JJ
, ,
and CC
she PPS
was BEDZ
clean JJ
now RB
for IN
his PP$
departure NN
and CC
her PP$
voice NN
clear JJ
and CC
rather QL
sharp JJ
. .
`` ``
Now RB
drive VB
carefully RB
, ,
for IN
God's NP$
sake NN
'' ''
! .
! .
She PPS
called VBD
, ,
trying VBG
to TO
attain VB
a AT
half QL
humorous JJ
resentment NN
at IN
his PP$
departure NN
. .
But CC
he PPS
did DOD
not *
notice VB
, ,
and CC
was BEDZ
already RB
backing VBG
the AT
car NN
down RP
to IN
the AT
road NN
, ,
saying VBG
`` ``
Toot-toot UH
'' ''
! .
! .
To IN
the AT
stump NN
of IN
a AT
tree NN
as CS
he PPS
passed VBD
it PPO
, ,
the AT
same AP
stump NN
which WDT
had HVD
impaled VBN
the AT
car NN
of IN
many ABN
a AT
guest NN
in IN
the AT
past AP
thirty CD
years NNS
and CC
which WDT
he PPS
refused VBD
to TO
have HV
removed VBN
. .
She PPS
stood VBD
clutching VBG
her PP$
shawl NN
around IN
her PP$
shoulders NNS
until CS
he PPS
had HVD
swung VBN
the AT
car NN
onto IN
the AT
road NN
. .
Then RB
, ,
when WRB
he PPS
had HVD
it PPO
pointed VBN
down IN
the AT
hill NN
, ,
he PPS
stopped VBD
to TO
gaze VB
at IN
her PPO
through IN
the AT
window NN
. .
She PPS
had HVD
begun VBN
to TO
turn VB
back RB
toward IN
the AT
house NN
, ,
but CC
his PP$
look NN
caught VBD
her PPO
and CC
she PPS
stood VBD
still RB
, ,
waiting VBG
there RB
for IN
what WDT
his PP$
expression NN
indicated VBD
would MD
be BE
a AT
serious JJ
word NN
of IN
farewell NN
. .
He PPS
looked VBD
at IN
her PPO
out IN
of IN
himself PPL
, ,
she PPS
thought VBD
, ,
as CS
he PPS
did DOD
only RB
for IN
an AT
instant NN
at IN
a AT
time NN
, ,
the AT
look NN
which WDT
always RB
surprised VBD
her PPO
even QL
now RB
when WRB
his PP$
uncombable JJ
hair NN
was BEDZ
yellowing VBG
a AT
little AP
and CC
his PP$
breath NN
came VBD
hard RB
through IN
his PP$
nicotine-choked JJ
lungs NNS
, ,
the AT
look NN
of IN
the AT
gaunt JJ
youth NN
she PPS
had HVD
suddenly RB
found VBN
herself PPL
staring VBG
at IN
in IN
the AT
Tate NP-TL
Gallery NN-TL
on IN
a AT
Thursday NR
once RB
. .
Now RB
she PPS
kept VBD
herself PPL
protectively RB
ready JJ
to TO
laugh VB
again RB
and CC
sure RB
enough QLP
he PPS
pointed VBD
at IN
her PPO
with IN
his PP$
index NN
finger NN
and CC
said VBD
`` ``
Toot UH
'' ''
! .
! .
Once RB
more RBR
and CC
roared VBD
off RP
into IN
the AT
fog NN
, ,
his PP$
foot NN
evidently RB
surprising VBG
him PPO
with IN
the AT
suddenness NN
with IN
which WDT
it PPS
pressed VBD
the AT
accelerator NN
, ,
just RB
as CS
his PP$
hand NN
did DOD
when WRB
he PPS
worked VBD
. .
She PPS
walked VBD
back RB
to IN
the AT
house NN
and CC
entered VBD
, ,
feeling VBG
herself PPL
returning VBG
, ,
sensing VBG
some DTI
kind NN
of IN
opportunity NN
in IN
the AT
empty JJ
building NN
. .
There EX
is BEZ
a AT
death NN
in IN
all ABN
partings NNS
, ,
she PPS
knew VBD
, ,
and CC
promptly RB
put VBD
it PPO
out IN
of IN
her PP$
mind NN
. .
She PPS
enjoyed VBD
great JJ
parties NNS
when WRB
she PPS
would MD
sit VB
up RP
talking VBG
and CC
dancing VBG
and CC
drinking VBG
all ABN
night NN
, ,
but CC
it PPS
always RB
seemed VBD
to IN
her PPO
that WPS
being BEG
alone RB
, ,
especially RB
alone RB
in IN
her PP$
house NN
, ,
was BEDZ
the AT
realest JJT
part NN
of IN
life NN
. .
Now RB
she PPS
could MD
let VB
out RP
the AT
three CD
parakeets NNS
without IN
fear NN
they PPSS
would MD
be BE
stepped VBN
on RP
or CC
that CS
Stowey NP
would MD
let VB
them PPO
out IN
one CD
of IN
the AT
doors NNS
; .
; .
she PPS
could MD
dust VB
the AT
plants NNS
, ,
then RB
break VB
off RP
suddenly RB
and CC
pick VB
up RP
an AT
old JJ
novel NN
and CC
read VB
from IN
the AT
middle NN
on RP
; .
; .
improvise VB
cha-chas NNS
on IN
the AT
harp NN
; .
; .
and CC
finally RB
, ,
the AT
best JJT
part NN
of IN
all ABN
, ,
simply RB
sit VB
at IN
the AT
plank NN
table NN
in IN
the AT
kitchen NN
with IN
a AT
bottle NN
of IN
wine NN
and CC
the AT
newspapers NNS
, ,
reading VBG
the AT
ads NNS
as QL
well RB
as CS
the AT
news NN
, ,
registering VBG
nothing PN
on IN
her PP$
mind NN
but CC
letting VBG
her PP$
soul NN
suspend VB
itself PPL
above IN
all ABN
wishing VBG
and CC
desire NN
. .
She PPS
did DOD
this DT
now RB
, ,
comfortably RB
aware JJ
of IN
the AT
mist NN
running VBG
down IN
the AT
windows NNS
, ,
of IN
the AT
silence NN
outside RB
, ,
of IN
the AT
dark JJ
afternoon NN
it PPS
was BEDZ
getting VBG
to TO
be BE
. .
She PPS
fell VBD
asleep RB
leaning VBG
on IN
her PP$
hand NN
, ,
hearing VBG
the AT
house NN
creaking VBG
as CS
though CS
it PPS
were BED
a AT
living NN
a AT
private JJ
life NN
of IN
its PP$
own JJ
these DTS
two CD
hundred CD
years NNS
, ,
hearing VBG
the AT
birds NNS
rustling VBG
in IN
their PP$
cages NNS
and CC
the AT
occasional JJ
whirring VBG
of IN
wings NNS
as CS
one CD
of IN
them PPO
landed VBN
on IN
the AT
table NN
and CC
walked VBD
across IN
the AT
newspaper NN
to TO
perch VB
in IN
the AT
crook NN
of IN
her PP$
arm NN
. .
Every AT
few AP
minutes NNS
she PPS
would MD
awaken VB
for IN
a AT
moment NN
to TO
review VB
things NNS
: :
Stowey NP
, ,
yes RB
, ,
was BEDZ
on IN
his PP$
way NN
south NR
, ,
and CC
the AT
two CD
boys NNS
were BED
away RB
in IN
school NN
, ,
and CC
nothing PN
was BEDZ
burning VBG
on IN
the AT
stove NN
, ,
and CC
Lucretia NP
was BEDZ
coming VBG
for IN
dinner NN
and CC
bringing VBG
three CD
guests NNS
of IN
hers PP$$
. .
Then RB
she PPS
fell VBD
asleep RB
again RB
as QL
soddenly RB
as CS
a AT
person NN
with IN
fever NN
, ,
and CC
when WRB
she PPS
awoke VBD
it PPS
was BEDZ
dark JJ
outside RB
and CC
the AT
clarity NN
was BEDZ
back RB
in IN
her PP$
eyes NNS
. .
She PPS
stood VBD
up RP
, ,
smoothing VBG
her PP$
hair NN
down RP
, ,
straightening VBG
her PP$
clothes NNS
, ,
feeling VBG
a AT
thankfulness NN
for IN
the AT
enveloping VBG
darkness NN
outside RB
, ,
and CC
, ,
above IN
everything PN
else RB
, ,
for IN
the AT
absence NN
of IN
the AT
need NN
to TO
answer VB
, ,
to TO
respond VB
, ,
to TO
be BE
aware JJ
even RB
of IN
Stowey NP
coming VBG
in RP
or CC
going VBG
out RP
, ,
and CC
yet RB
, ,
now RB
that CS
she PPS
was BEDZ
beginning VBG
to TO
cook VB
, ,
she PPS
glimpsed VBD
a AT
future NN
without IN
him PPO
, ,
a AT
future NN
alone RB
like CS
this DT
, ,
and CC
the AT
pain NN
made VBD
her PP$
head NN
writhe VB
, ,
and CC
in IN
a AT
moment NN
she PPS
found VBD
it PPO
hard JJ
to TO
wait VB
for IN
Lucretia NP
to TO
come VB
with IN
her PP$
guests NNS
. .
She PPS
went VBD
into IN
the AT
living VBG
room NN
and CC
turned VBD
on RP
three CD
lamps NNS
, ,
then RB
back RB
into IN
the AT
kitchen NN
where WRB
she PPS
turned VBD
on RP
the AT
ceiling NN
light NN
and CC
the AT
switch NN
that WPS
lit VBD
the AT
floods NNS
on IN
the AT
barn NN
, ,
illuminating VBG
the AT
driveway NN
. .
She PPS
knew VBD
she PPS
was BEDZ
feeling VBG
afraid JJ
and CC
inwardly RB
laughed VBD
at IN
herself PPL
. .
They PPSS
were BED
both ABX
so QL
young JJ
, ,
after IN
all ABN
, ,
so QL
unready JJ
for IN
any DTI
final JJ
parting NN
. .
How WRB
could MD
it PPO
have HV
been BEN
thirty CD
years NNS
already RB
, ,
she PPS
wondered VBD
? .
? .
But CC
yes RB
, ,
nineteen CD
plus CC
thirty CD
was BEDZ
forty-nine CD
, ,
and CC
she PPS
was BEDZ
forty-nine CD
and CC
she PPS
had HVD
been BEN
married VBN
at IN
nineteen CD
. .
She PPS
stood VBD
still RB
over IN
the AT
leg NN
of IN
lamb NN
, ,
rubbing VBG
herbs NNS
into IN
it PPO
, ,
quite QL
suddenly RB
conscious JJ
of IN
a AT
nausea NN
in IN
her PP$
stomach NN
and CC
a AT
feeling NN
of IN
wrath NN
, ,
a AT
sensation NN
of IN
violence NN
that WPS
started VBD
her PPO
shivering VBG
. .
But CC
they PPSS
all ABN
said VBD
, ,
`` ``
No RB
, ,
your PP$
time NN
will MD
come VB
. .
Enjoy VB
being BEG
a AT
bride NN
while CS
you PPSS
can MD
'' ''
. .
There EX
was BEDZ
no AT
room NN
for IN
company NN
in IN
the AT
tiny JJ
Weaning VBG-TL
House NN-TL
( (
where WRB
the AT
Albright NP
boys NNS
always RB
took VBD
their PP$
brides NNS
, ,
till CS
they PPSS
could MD
get VB
a AT
house NN
and CC
a AT
farm NN
of IN
their PP$
own JJ
) )
. .
So RB
when WRB
the AT
Big JJ-TL
House NN-TL
filled VBD
up RP
and CC
ran VBD
over RP
, ,
the AT
sisters-in-law NNS
found VBD
beds NNS
for IN
everyone PN
in IN
their PP$
own JJ
homes NNS
. .
And CC
there EX
was BEDZ
still RB
not *
anything PN
that CS
Linda NP
Kay NP
could MD
do DO
. .
So RB
Linda NP
Kay NP
gave VBD
up RP
asking VBG
